学校id,学校名,Street,Suburb,Town / City,电话,邮箱,website
20334,Bear Park Childcare Mairangi Bay,18 Apollo Drive,Mairangi Bay,Auckland,09-479 3795,mairangibay@bearpark.co.nz,
25328,Bear Park Herne Bay Early Childhood Education Centre,42 Shelly Beach Road,Herne Bay,Auckland,09-376 0232,,
47709,Bear Park Hobsonville Point,172 - 190 Buckley Avenue,Hobsonville,Auckland,,hobsonville@bearpark.co.nz,
20000,Belmont Montessori Preschool,7 Kawerau Avenue,Devonport,Auckland,09-445 4500,belmont@themontessoripreschool.co.nz,
48058,Best Hope Early Learning Centre,117 Seddon Street,Pukekohe West,Auckland,027-200 4555,besthope.pukekohe@hotmail.com,
45609,Big Hugz Early Learning Centre Limited,3 Fenwick Crescent,Hillcrest,Hamilton,07-8562222,,
20249,Birkenhead Point Montessori Pre-school,108 Hinemoa Street,Birkenhead,Auckland,09-550 3443,managerbpm@alphabetkids.co.nz,
48347,Blooming Buds Early Learning Centre,3145 Great North Road,New Lynn,Auckland,09-8698100,enquiries@bloomingbuds.co.nz,
47884,Blossoms Educare Otara,195 Bairds Road,Otara,Auckland,09-2130855,otara@blossomseducare.co.nz,
48349,Blossoms Educare Riverina,30 Millen Avenue,Pakuranga,Auckland,09-9491103,riverside@blossomseducare.co.nz,
47277,Bright Beginnings Early Learning Centre - Mt Roskill,143 White Swan Road,Mt Roskill,Auckland,09- 627 7287,,
46784,Bright Kidz Childcare,144 Buckland Road,Mangere East,Auckland,09- 257 1111,manager@brightkidz.co.nz,
48015,"Brightlands Childcare Centre, Airport Oaks",45 McKenzie Road,Mangere Bridge,Auckland,09-2184993,mangerebridge@brightlands.ac.nz,
46201,Brilliant Minds Early Childhood Centre,30 Carr Road,Three Kings,Auckland,09-625 8844,threekings@brilliantminds.co.nz,
47143,Buds and Blooms Childcare Centre,77 Mahunga Drive,Favona,Auckland,09-216 8191,admin@budsandblooms.co.nz,
20550,Busy Minds Early Learning Centre,319 Sunset Road,Mairangi Bay,Auckland,09-478 5510,childcare@busyminds.co.nz,
46621,Chrysalis Early Learning Centre,1 Jomac Place,Avondale,Auckland,09-964 0514,childcare@chrysaliscare.co.nz,
47803,Clendon Kids Early Learning Centre,1 Balwyn Place,Clendon Park,Auckland,09-216 0522,office@clendonkids.co.nz,
48034,Co Star Early Learning Centre,79 Chivalry Road,Glenfield,Auckland,09-4409890,enquiries@costarelc.co.nz,
20300,Confident Learners Early Learning Centre,91 Portage Road,New Lynn,Auckland,09-826 0644,info@confidentlearners.nz,
48244,Creative Garden Early learning Centre Mangere,300 Massey Road,Mangere,Auckland,09-259 3030,mangere@creativegarden.nz,
48363,Cuddly Bear Childcare,121 Beach Road,Papakura,Auckland,09-930 4177,info@cuddlybear.co.nz,
10120,Curious Kids Early Learning Centre,Lynnmall Shopping Centre 3058 Great North Road,New Lynn,Auckland,09-827 4015,admin@curiouskids.co.nz,
48215,Dream Catchers Early Learning Service,1-3 Taimana Place,Greenhithe,Auckland,09-963 9183,admin@dreamcatchersalbany.com,
47967,Dream Catchers Preschool,106 Rhinevale Close,Henderson,Auckland,09-963 8531,dreamcatchershenderson@outlook.com,
47979,Early Smiles Childcare & Learning Centre,7 Ainwick Road,Flat Bush,Auckland,021-129 5138,info@earlysmiles.co.nz,
46332,Eden Cubs Early Learning Centre,6 Basque Road,Eden Terrace,Auckland,09-631 7437,edencubs@gmail.com,
47642,Eduplay Childcare Westgate,7 Northside Drive,Westgate,Auckland,0800-21539,adminwestgate@eduplay.co.nz,
46956,Enriching Otara Early Learning Centre,66 Lovegrove Cres,Otara,Auckland,09-2733492,,
45176,Flying Kiwi Preschool,48 Henderson Valley Road,Henderson,Auckland,09-8383062,hello@flyingkiwipreschool.co.nz,
20493,Flying Start Kindergarten,2/22 Cromwell Street,Mount Eden,Auckland,09-6304847,admin@flyingstartkindergarten.co.nz,
47994,Galaxy Childcare - East Tamaki,148 East Tamaki Road,Otara,Auckland,09-2667412,info@galaxychildcare.co.nz,
48233,Go Bananas Childcare Alfriston,120 Alfriston Road,Manurewa,Auckland,0800-462 626,alfriston@gobananasnz.co.nz,https://www.gobananasnz.co.nz/
48360,Go Bananas Childcare Beachlands,17A Bell Road,Beachlands,Auckland,0800-462626,beachlands@gobananasnz.co.nz,https://www.gobananasnz.co.nz/
48158,Go Bananas Childcare Hari Centre,47 Kolmar Road,Papatoetoe,Auckland,021-710 378,haricentre@gobananasnz.co.nz,https://www.gobananasnz.co.nz/
48166,Go Bananas Childcare Swanson,41 Candia Road,Swanson,Auckland,,swanson@gobananasnz.co.nz,https://www.gobananasnz.co.nz/
47973,Go Bananas Childcare Takanini,20 Walters Road,Takanini,Auckland,0800-462626,takanini@gobananasnz.co.nz,https://www.gobananasnz.co.nz/
46192,Grace Christian Community Preschool,28 Rimu Street,New Lynn,Auckland,09-553 9628,info@gracepreschool.co.nz,www.gracepreschool.co.nz
10104,Growing Minds Early Learning Centre,72 Sunset Road,Unsworth Heights,Auckland,09-444 6060,growing_minds@xtra.co.nz,https://www.growingminds-northshore.co.nz/
48066,Hands at Play Aotearoa,43 Glass Rooad,Mt Roskill,Auckland,022-426 8127,info.handsatplay@gmail.com,
47659,Happy Kiddy Huapai Early Learning Centre,335 Main Road,Whenuapai,Auckland,09-4122025,huapai@happykiddy.co.nz,happykiddy.co.nz
47899,Happy Kids Parrs Park Early Learning Centre,115 Seymour Road,Sunnyvale-Auckland,Auckland,09-8130836,happykidsece@hotmail.com,
47814,Happy Turtle Childcare,107 Old Wairoa Road,Papakura,Auckland,09-2962764,info@happyturtle.co.nz,happyturtle.co.nz
46778,Heart of Albany ELC,10 Corinthian Drive,,Auckland,09-444 4028,admin@heartofalbany.co.nz,https://heartofalbany.co.nz/
20080,Hedgehog House Early Learning Centre,90 Point Chevalier Road,Point Chevalier,Auckland,09-8497259,hedgehoghouseece@gmail.com,hedgehoghouse.net.nz
45473,Henderson Valley Private Kindergarten,101 Coulter Rd,Henderson,Waitakere,09-8174304,titirangiprivatekindergarten@gmail.com,https://www.hendersonvalleyprivatekindy.co.nz/
48017,Just Kidz Henderson,131 Lincoln Road,Henderson,Auckland,021-155 5663,angie.pan@justkidz.co.nz,
48055,Kakapo Creek Children's Garden,409 Beach Road,Mairangi Bay,Auckland,09-410 2181,,
47757,Kiddie Academy Early Learning Centre,93-97 Victoria Street,Pukekohe West,Auckland,,info@kece.co.nz,https://kece.co.nz/
47552,Kiddie Garden Learning Corner,2 Morrin Street,Ellerslie,Auckland,09- 2830352,info@kiddie.co.nz,
48045,Kidz Park Albany Child Care Centre,25 Corban Avenue,Oteha,Auckland,09-2000696,,
48337,Killarney Kids Preschool,Killarney Kids Preschool 37 Killarney Street,Takapuna,Auckland,09-4853873,,
20086,Kindercare Learning Centres Milford P,91 Shakespeare Road,Milford,Auckland,09-4862626,,
10263,Kindy Cottage Childcare,17 Graham Collins Drive,Mairangi Bay,Auckland,09-4784784,,
47097,Kiwi Kids Childcare Limited,10 Robertson Road,Mangere Central,Auckland,09- 275 7271,,
25438,"Kiwi Supertots Learning Centre, Botany",37 Bishop Dunn Place,Botany,Auckland,09-2716553,,
45574,Koru Kids Early Learning Centre,30 Kenderine Road,Papatoetoe,Auckland,09-277 4222,,
45230,Kowhai Kids Early Learning Centre,265 Albany Highway,Albany,North Shore City,09-415 1665,,
25366,Learning Adventures Airport Oaks,33 Andrew Baxter Drive,Mangere,Auckland,09-257 1144,,
20494,Learning Curves Childcare Centre,11 Kinross Street,Blockhouse Bay,Auckland,09-,,
10154,Learning Steps Childcare Centre,4170 Great North Road,Glendene,Auckland,09-836 1985,,
47268,Li'l Champs Early Learning Centre,134 McKenzie Road,Mangere Bridge,Auckland,09-2751699,,
47486,Li'l Champs Montessori Early Learning Centre,43 Aviemore Drive,Howick,Auckland,021-,,
48065,Little Captains Early Learning,124 Rathgar Road,Henderson,Auckland,021-082 04688,,
45925,Little Climbers Early Learning Centre,33 Kairanga Street,Mangere East,Auckland,09-275 7438,,
48133,Little Climbers Early Learning Centre - Pukekohe,122 Helvetia Road,Pukekohe West,Auckland,09-9631020,,
48097,Little Climbers Early Learning Centre (Otara),6 Ashton Avenue,Otara,Auckland,,,
47500,Little Ducklings,2 Hillside Road,Papatoetoe,Auckland,09-2775712,,
46070,Little Earth Montessori Remuera,45 Ascot Avenue,Remuera,Auckland,09-520 0021,,
47908,Little Hands Childcare (Otara),2 Tindall Crescent,Otara,Auckland,09-2156998,,
47605,Little Loves Early Learning Centre,32 Pooks Road,Ranui,Auckland,09-6662020,,
47710,Little Seed Early Learning Centre,27 Ben Lomond Crescent,Pakuranga,Auckland,09-576 0795,,
25361,Little Sparks,65 Helvetia Road,Pukekohe West,Auckland,09-2385656,,
20503,Little Star Montessori House Of Children,21 Buisson Glade,West Harbour,Auckland,09-4169696,,
48081,Little Village Preschool,46 Ambler Avenue,Glen Eden,Auckland,09-9480365,,
47093,Little Vines Learning Centre,55 Vine Street,Mangere East,Auckland,09-2700378,,
45933,Littlest Learners Newmarket,8-12 Morrow Street,Newmarket,Auckland,09-520 0540,,
20158,Lollipops Birkenhead,71 Roseberry Avenue,Birkenhead,Auckland,09-4196826,,
45855,Lollipops Browns Bay,41 Bute Road,Browns Bay,Auckland,09-3778700,,
46622,Lollipops Swanson,114 Swanson Road,Henderson,Auckland,09-835 1900,,
48260,Mangatawhiri Childcare,252 Mangatawhiri Road,,Auckland,,,
47962,Mighty Mind Kids Early Learning Centre,32 Driver Road,Mangere Central,Auckland,,,
46729,Mighty Minds Educare,"Level 1, Unit 7 531 Great South Road",Penrose,Auckland,09-525 6868,,
47870,Mighty Minds Educare Mt Wellington,509/517 Ellerslie Panmure Highway,Mt Wellington,Auckland,,,
48098,Millidale Explorers,"139 Ahutoetoe Road, Milldale",,Auckland,09-421 0234,,
46352,Mini Miracles Educare Western Heights,125 Sturges Road,Henderson,Auckland,09-281 2250,,
10351,Mt Royal Early Learning Centre,88 Mt Royal Avenue,Mount Albert,Auckland,09-8497440,,
47936,New Shoots Children's Centre - Greenhithe,31 Chester Avenue,Greenhithe,Auckland,09-307 0005,,
48040,New Shoots Childrens' Centre - Miniland,11 Sunnyview Road,Greenhithe,Auckland,09-218 2997,,
47900,Newbies Birkdale Early Learning Centre,126 Birkdale Road,Birkdale,Auckland,09-2162935,,
46812,Newbies Early Learning Centre,204 Lake Road,Northcote,Auckland,09-418 4648,,
20122,Nurserydale Childcare Centre,262 Birkdale Road,Birkdale,Auckland,09-483 8273,,
20052,Oma Rāpeti Early Learning Centre,3 Pratt Street,Freemans Bay,Auckland,09-376 7282,,
48035,Papatoetoe Kids Early Learning Centre,68 Station Road,Papatoetoe,Auckland,021-144 0018,,
10194,Pascals Herne Bay,272 Jervois Road,Herne Bay,Auckland,09-378 8106,,
47957,Peekaboo Childcare Forrest Hill,2 Marsh Avenue,Forrest Hill,Auckland,09-4101222,,
47707,Penguins School of Early Learning 2,197 Whitford Road,Howick,Auckland,09-5374970,,
47317,Peninsula Kids,168 Bayswater Avenue,Bayswater-Auckland,Auckland,09-3909112,,
48006,Piccolo Park Dannemora Limited,508 Chapel Road,Dannemora,Auckland,09-394 3355,,
47537,Pohutukawa Kidz,44/1 Wakelin Road,Beachlands,Auckland,09-2187877,,
48142,Ponsonby Montessori Kindergarten II,136 Richmond Road,Grey Lynn,Auckland,09-3600568,,
20371,Rainbow Adventurers Childcare,12 Laurina Road,Sunnynook,Auckland,09-479 2922,,
45332,Reach Forward Early Learning Centre,10 Gills Road,Albany,North Shore City,09-9504400,,
10267,Red Kite Preschool Mt Albert,22B Willcott Street,Mount Albert,Auckland,09-846 8436,,
20144,Remuera Montessori Ltd,2 Armadale Road,Remuera,Auckland,09-520 2805,,
48301,Roscommon Learning Centre,323 Roscommon Road,Clendon Park,Auckland,09-277 9730,,
20011,Royal Oak Childcare Centre,6 Crown Street,Royal Oak,Auckland,09-624 4462,,
20533,Royal Oak Learning Centre,684 Mt Albert Road,Royal Oak,Auckland,09-624 4462,,
25418,Secret Garden ELC Limited,428 Albany Highway,Albany,North Shore City,09-4150 535,info@secretgarden4kids.co.nz,
47959,Seven Stars Kindergarten,272 Don Buck Road,Massey,Auckland,027-8377827,,
25355,Small Steps ECE Centre,14 Botany Road,Howick,Auckland,09-5337517,,
48234,Smart Kids Educare,227 Balmoral Road,Mt Eden,Auckland,,,
47174,Star Kids Childcare,17 Clayton Road,Manurewa,Auckland,09-974 2060,,
20466,Stepping Stones Daycare Ltd,70 Wairiki Road,Mount Eden,Auckland,09-6310300,,
47495,SUPERKIDZ Early Learning Centre,2 Turama Road,Royal Oak,Auckland,09-6244004,,
46306,Superstart Early Learning Centre,46 Te Koa Road,Panmure,Auckland,09-527 1961,,
25329,Talented Tots Early Childhood Centre,306 West Coast Road,Glen Eden,Auckland,09-818 6138,,
47675,Te Korowai Early Learning Centre,13 Coles Place,Manurewa,Auckland,,,
47588,Te Puna Kelston ELC,20 Sabulite Road,Kelston,Auckland,09-818 2000,,
48057,The Beehive Early Learning Centre,98 Glen Road,Ranui,Auckland,,,
10383,The Childrens Corner Howick,30 Cook Street,Howick,Auckland,09-533 0397,,
46879,The First Mile Children's Centre,8 Kings Road,Panmure,Auckland,09-570 7427,,
10332,The Junction Early Learning Centre,4 Oteha Valley Road,Northcross,Auckland,09-479 5432,,
46337,The Learning Castle,52 Huia Road,Papatoetoe,Auckland,09-278 5252,,
45972,The Learning Corner Early Learning Centre,1 Ranier Street,Ellerslie,Auckland,09-5790814,,
45911,The Learning Grove Educare Centre,48 Buckland Road,Mangere East,Auckland,09-279 2406,,
48225,The Montessori Preschool - Mt Albert,4 Sainsbury Road,Mt Albert,Auckland,,,
10295,The Treasure Cove Early Learning Centre,9-11 Boon Street,Manurewa,Auckland,09-2680890,,
25046,The Treasure Cove Early Learning Centre,159 A Russell Road,Manurewa,Auckland,09-266 5727,,
10306,The Treasure Cove ELC - Tawa,48 Tawa Crescent,Manurewa,Auckland,021-926584,,
47673,The Village Co ELC - Hobsonville,44 Hobsonville Road,West Harbour,Auckland,021-1951130,,
47987,The Village Early Learning Centre Pukekohe,17 Catherine McLean Road,Pukekohe West,Auckland,027-555 3595,,
25413,The Vines Early Learning,1 Enterprise Drive,Henderson,Auckland,09-8382022 Ext 0,,
47846,Tiny Voices Hobsonville,106 Hobsonville Road,Hobsonville,Auckland,021-287 3567,,
47616,Tui Art Early Learning Centre,11A Aeroview Drive,Beach Haven,Auckland,09-214 7724,,
48278,TUITUI EDUCARE,417A East Tamaki Road,East Tamaki,Auckland,09-2189430,,
48111,Universal Kids,Unit A7 192 Universal Drive,Henderson,Auckland,09-835 1699,,
48335,Village Green Early Learning Centre,33 Haast Street,Remuera,Auckland,09-304 7730,,
10168,Vintage Kids,20 Ranfurly Road,Epsom,Auckland,09-524 5574,,
48087,Vintage Kids - Point Chevalier,10 Kiwi Road,Point Chevalier,Auckland,09-242 1980,,
48304,Welly Explorers,3 School Road,Wellsford,Auckland,09-4232360,,
47996,Wilde Meadow Limited,594 West Coast Road,Oratia,Auckland,09-8181432,,
48002,Young Learners Early Childhood Education Centre,2 Airdrie Road,Ranui,Auckland,021-1068054,,
