id,学校名字,street,suburb,city,email,电话,website
5032,Belmont Bayswater Kindergarten,1C Rosyth Avenue,Bayswater-Auckland,Auckland,belmontbayswater@aka.org.nz,09-4456744,
20000,Belmont Montessori Preschool,7 Kawerau Avenue,Devonport,Auckland,belmont@themontessoripreschool.co.nz,09-445 4500,
60013,Belmont Playcentre,Norfolk Street,Belmont,Lower Hutt,belmont@playcentre.org.nz,04-5650004,
10117,BestStart Albany 1,1 Fearnley Grove,Albany,North Shore City,albany@best-start.org,022-0109172,
10348,BestStart Albany 2,6 Appleby Road,Albany,North Shore City,albany@best-start.org,022-0109172,
48085,BestStart Beach Haven,199 Beach Haven Road,Beach Haven,Auckland,,022-0110814,
47993,BestStart Birkdale,33 Salisbury Road,Birkdale,Auckland,,022-0112067,
20236,BestStart Glenfield,26 Manuka Road,Glenfield,Auckland,glenfield@best-start.org,022-0114997,
30064,BestStart Hillcrest,26 Puriri Crescent,Hillcrest,Rotorua,,022-0117513,
20233,BestStart North Harbour,"Shop 109, Westfield Mall Civic Crescent",Albany,North Shore City,,022-0115523,
45609,Big Hugz Early Learning Centre Limited,3 Fenwick Crescent,Hillcrest,Hamilton,,07-8562222,
5034,Birkenhead Kindergarten,97 A Mokoia Road,Birkenhead,Auckland,birkenhead@aka.org.nz,09-480 9330,
22038,Birkenhead Playcentre,16 Recreation Drive,Birkenhead,Auckland,rachel.rix-trott@playcentre.org.nz,09-480 9671,
20249,Birkenhead Point Montessori Pre-school,108 Hinemoa Street,Birkenhead,Auckland,managerbpm@alphabetkids.co.nz,09-550 3443,
20024,Browns Bay Preschool,55 Browns Bay Road,Browns Bay,Auckland,info@brownsbaypreschool.co.nz,09-479 3008,
47082,Busy Bees Apollo,56 Apollo Drive,Rosedale,Auckland,info@apollo.busybees.org.nz,09-486 6111,
20550,Busy Minds Early Learning Centre,319 Sunset Road,Mairangi Bay,Auckland,childcare@busyminds.co.nz,09-478 5510,
47612,Campbells Bay Early Learning Centre,218 - 220 Beach Road,Campbells Bay,Auckland,kendall@campbellsbay-elc.co.nz,09-4799090,
20225,Caterpillars to Butterflies Childcare,62 Coronation Road,Hillcrest,Auckland,office@caterpillarstobutterflies.co.nz,09-480 5827,
5566,Chelsea Kindergarten,62 Balmain Road,Birkenhead,Auckland,chelsea@aka.org.nz,09-480 7332,
25406,Child Pre-School Education Ltd,"Ground Floor Sovereign House, Smales Farm Cnr Northcote Rd & Taharoto Road",Takapuna,Auckland,lee@child.co.nz,09-488 7766,
20033,Childspace Preschool,208 Onewa Road,Birkenhead,Auckland,office@childspacepreschool.co.nz,09-418 1466,
10016,City Impact Church Care and Education,794 East Coast Road,Albany,Auckland,fran.bunting@cityimpactchurch.com,09-477 0300,
47820,City Impact Church Childcare - North Shore,790-792 East Coast Rd,Browns Bay,Auckland,,09-4770309,
48034,Co Star Early Learning Centre,79 Chivalry Road,Glenfield,Auckland,enquiries@costarelc.co.nz,09-4409890,
20186,Creative Kids,46 Mayall Avenue,Beach Haven,Auckland,creativekidsece@gmail.com,09-483 7489,
20041,Devonport Community Creche,32 a Clarence Street,Devonport,Auckland,devonportcreche@xtra.co.nz,027-526 2634,
5045,Devonport Kindergarten,43 Vauxhall Road,Devonport,Auckland,devonport@aka.org.nz,09-445 3504,
20328,Devonport Methodist Childcare Centre,18 Owens Road,Devonport,Auckland,admin@dmcc.live,09-446 0003,
48215,Dream Catchers Early Learning Service,1-3 Taimana Place,Greenhithe,Auckland,admin@dreamcatchersalbany.com,09-963 9183,
48348,Dream Sprouts Homebased Childcare,50 Langana Avenue,Browns Bay,Auckland,,022-1603633,
48243,Early Achievers Homebased Childcare,1A Balfour Street,Bayswater-Auckland,Auckland,,,
20043,East Coast Bays Community Creche,5 Inverness Road,Browns Bay,Auckland,ecbcc@xtra.co.nz,09-479 1241,
45782,Eskdale Treehouse Early Learning Centre,76 Eskdale Road,Birkdale,Auckland,eskdale@treehouselearning.co.nz,09-4821536,
20226,Folkestone Street Infant & Childcare,6 Folkestone Street,Mairangi Bay,Auckland,folkestoneinfantcare@xtra.co.nz,09-4101982,
10236,Fun Place Childcare Rosedale,15-17 Saturn Place,Albany,Auckland,Rosedale@funplace.co.nz,09-444 1979,
48416,Glamorgan Early Learning Centre,186 Glamorgan Drive,Torbay,Auckland,,021-1781685,
5021,Glamorgan Kindergarten,37 Danbury Drive,Torbay,Auckland,glamorgan@kaitiakikindergartens.org.nz,09-4735099,
5052,Glenfield Kindergarten,Mayfield Road,Glenfield,Auckland,glenfield@aka.org.nz,09-4448473,
47876,Go Bananas Childcare Target Rd,126 Target Road,North Shore,Auckland,info@gobananasnz.co.nz,09-2158714,
5637,Greenhithe Kindergarten,10 Isobel Road,Greenhithe,Auckland,greenhithe@aka.org.nz,09-413 9171,
22041,Greenhithe Playcentre,15 A Greenhithe Road,Greenhithe,Auckland,rachel.rix-trott@playcentre.org.nz,09-413 5039,
10104,Growing Minds Early Learning Centre,72 Sunset Road,Unsworth Heights,Auckland,growing_minds@xtra.co.nz,09-444 6060,https://www.growingminds-northshore.co.nz/
48011,Happy Hive Early Learning Centre,45 Greenhithe Road,Greenhithe,Auckland,caththorpe@googlemail.com,09-2422420,
47138,Happy Kids At Home Childcare,4 Kenmure Ave,Forrest Hill,Auckland,happykidsathome01@gmail.com,027- 5044570,
10004,Hidden Treasures Early Learning Centre,31 Westminster Gardens,Unsworth Heights,Auckland,richardhoek@westminster.school.nz,09-4441906,
34066,Hillcrest High School Community Childcare,Carrington Avenue,Hillcrest,Hamilton,manager@hhcentre.co.nz,07-8568707,
5145,Hillcrest Kindergarten,Masters Avenue,Hillcrest,Hamilton,ceo@kindergarten.org.nz,07-8563529,
47598,Just Kidz Albany,5 William Pickering Drive,Albany,Auckland,maggie.xu@justkidz.co.nz,09-4141014,
48055,Kakapo Creek Children's Garden,409 Beach Road,Mairangi Bay,Auckland,,09-410 2181,
48370,Kakariki In-Home Childcare,19 Lingham Crescent,Torbay,Auckland,,021-022 22187,
5060,Kauri Park Kindergarten,11 McGlashen Place,Birkenhead,Auckland,kauripark@aka.org.nz,09-483 7073,
46791,Kia ora Kids at Home Childcare  1,Unit D2 17 Corinthian Drive,Albany,Auckland,info@awachildcare.co.nz,027-5281668,
47524,Kia ora Kids at Home Childcare 2,Unit D2 17 Corinthian Drive,Albany,Auckland,brett@no-1group.co.nz,021- 5281668,
45257,Kia ora Kids at Home Childcare 3,Unit D2 17 Corinthian Drive,Albany,Auckland,info@kiaorakids.co.nz,0800-277 537,
20165,Kia ora Kids at Home Childcare 4,Unit D2 17 Corinthian Drive,Albany,Auckland,,0800-277 537,
20229,Kia ora Kids at Home Childcare 5,Unit D2 17 Corinthian Drive,Albany,Auckland,,0800-277 537,
45807,Kia ora Kids at Home Childcare 6,Unit D 2 17 Corinthian Drive,Albany,Auckland,info@kiaorakids.co.nz,0800-277 537,
20324,Kiddos Childcare Birkdale,167 Birkdale Road,Birkdale,Auckland,info@kiddoschildcarebirkdale.co.nz,09-482 0840,
10297,Kiddos Childcare Takapuna,1 Tennyson Avenue,Takapuna,Auckland,Carla@ledu.co.nz,09-488 9220,
20585,Kids Biz preschool and Daycare,14 -16 Hebron Road,Browns Bay,Auckland,kidsbizpreschool@outlook.com,09-4793199,
47256,KidsCo Early Learning Centre,21 Parkhill Road,Birkenhead,Auckland,office@kidsco.co.nz,09-4800088,
48045,Kidz Park Albany Child Care Centre,25 Corban Avenue,Oteha,Auckland,,09-2000696,
48337,Killarney Kids Preschool,Killarney Kids Preschool 37 Killarney Street,Takapuna,Auckland,,09-4853873,
20198,Kindercare - Greenhithe,4 Greenhithe Road,Greenhithe,Auckland,roseanne@kindercare.co.nz,09-413 9041,
10217,Kindercare Learning Centre - Albany,141 Oteha Valley Road,North Shore,Auckland,albany@kindercare.co.nz,09-4792828,
10337,Kindercare Learning Centre (19) Greville,60 Greville Road,Browns Bay,Auckland,greville@kindercare.co.nz,09-479 9933,
20251,Kindercare Learning Centres - Takapuna,20-22 Lake Pupuke Drive,Takapuna,Auckland,roseanne@kindercare.co.nz,09-489 8666,
20465,"Kindercare Learning Centres (10 B, T & P) Constellation",5 Vega Place,Mairangi Bay,Auckland,constellation@kindercare.co.nz,09-4799 922,
20535,Kindercare Learning Centres (10 P) Constellation,5 Vega Place,Mairangi Bay,Auckland,constellation@kindercare.co.nz,09-479 9922,
20085,Kindercare Learning Centres (Milford),103 Shakespeare Road,Milford,Auckland,milford@kindercare.co.nz,09-4861338,
20083,Kindercare Learning Centres Belmont,194 Bayswater Avenue,Belmont,Auckland,belmont@kindercare.co.nz,09-4451201,
20086,Kindercare Learning Centres Milford P,91 Shakespeare Road,Milford,Auckland,,09-4862626,
10263,Kindy Cottage Childcare,17 Graham Collins Drive,Mairangi Bay,Auckland,,09-4784784,
48060,Kingdomcity Childcare,2/20 The Warehouse Way,Northcote,Auckland,,09-4861655,
20256,Kiwi Kids Early Learning Centre,31 Anzac St,Takapuna,Auckland,angelstaka@angelschildcare.co.nz,09-4864695,
20293,Koru Montessori,21 Kapiti Place,Sunnynook,Auckland,korumontessori@xtra.co.nz,09-4109535,
45230,Kowhai Kids Early Learning Centre,265 Albany Highway,Albany,North Shore City,,09-415 1665,
20541,Kristin School Kindergarten,360 Albany Highway,Albany,North Shore City,kristin@kristin.school.nz,09-415 9566,
25410,Kuddles In-Home Childcare & Education - 1,6 Tarndale Grove,Rosedale,Auckland,info@kuddles.co.nz,09-6256621,
45590,Kuddles In-Home Childcare & Education - 2,6 Tarndale Grove,Rosedale,Auckland,info@kuddles.co.nz,09-6256621,
46188,Kuddles In-Home Childcare & Education - 4,6 Tarndale Grove,Rosedale,Auckland,,09-625 6621,
47222,Kuddles In-Home Childcare & Education - 5,6 Tarndale Grove,Rosedale,Auckland,info@kuddles.co.nz,09-62556621,
47485,Kuddles In-Home Childcare & Education - 6,6 Tarndale Grove,Rosedale,Auckland,,027- 5281668,
47836,Kuddles In-Home Childcare & Education - 7,6 Tarndale Grove,Rosedale,Auckland,,027-5281668,
20016,Lancaster Learning Centre,1 Lancaster Road,Beach Haven,Auckland,admin@lancasterlearning.co.nz,09-4836645,
20566,Learning Unlimited Childcare Centre,65 - 67 Greenslade Crescent,Northcote,Auckland,info@learningunlimited.co.nz,09-480 2732,
46199,Little Discoverers,109 Cambridge Road,Hillcrest,Hamilton,nichole@littlediscoverers.co.nz,07-8564424,
47449,Little Doves Early Learning Centre,360 Albany Highway,Albany,Auckland,sjones@littledoves.nz,09-4159566,
20040,Little Forest,9 Barbados Drive,Glenfield North,Auckland,littleforestnz@hotmail.com,09-4440709,
20169,Little Nest Early Learning Centre,46 James Street,Glenfield,Auckland,info@littlenestelc.co.nz,09-4409394,
20238,Little Palms Early Learning Center,40 Caribbean Drive,Unsworth Heights,Auckland,info@littlepalms.co.nz,09-4409942,
20521,Little People,128 Archers Road,Glenfield,Auckland,info@littlepeople.net.nz,09-444 8802,
45815,Little People,140 - 146 Sunnynook Road,Sunnynook,Auckland,info@littlepeople.net.nz,09-4448802,
45544,Little People Learning Centre,12 Chartwell Avenue,Glenfield,Auckland,jodie@littlepeople.net.nz,09-4442931,
46400,Little Steps Montessori Preschool,29-31 Omega Street,Albany,Auckland,littlestepsalbany@gmail.com,09-444 3934,
20242,Lollipops Albany,406 Rosedale Road,North Harbour,Auckland,cm.albany@ledu.co.nz,09-4471955,
20158,Lollipops Birkenhead,71 Roseberry Avenue,Birkenhead,Auckland,,09-4196826,
45855,Lollipops Browns Bay,41 Bute Road,Browns Bay,Auckland,,09-3778700,
20231,Lollipops North Harbour Fantails,33-35 Cheval Drive,Glenfield,Auckland,cm.northharbourkakapo@ledu.co.nz,09-444 9248,
20508,Lollipops North Harbour Kakapo,48 Cheval Drive,Glenfield,Auckland,cm.northharbourkakapos@ledu.co.nz,09-444 9248,
47033,Luna Montessori Preschool,10 Blenheim Street,Glenfield,Auckland,admin@lunamontessori.com,021- 2810089,
10272,Magic Garden Early Education Limiited,170-174 Carlisle Road,Northcross,Auckland,manager@magicgarden.co.nz,09-479 1240,
47142,Magicland Childcare,287 Oteha Valley Road,Albany,Auckland,magiclandchildcare.albany@gmail.com,09-6002003,
22043,Mairangi Bay Playcentre,112 Kowhai Road,Mairangi Bay,Auckland,rachel.rix-trott@playcentre.org.nz,09-478 3316,
20035,Mariposa Kids,17 Mariposa Crescent,Birkenhead,Auckland,info@mariposakids.co.nz,09-418 2813,
5068,Marlborough Kindergarten,7 A Agincourt Street,Glenfield,Auckland,marlborough@aka.org.nz,09-4809061,
48362,Marlborough Montessori Preschool,17 Chartwell Avenue,Glenfield,Auckland,info@aranuimontessori.co.nz,09-4437378,
47941,Massey Child Care Centre - Albany,533 Albany Highway,Albany,Auckland,,09-212 7200,
10090,Meadowood Community Creche,55 Meadowood Drive,Unsworth Heights,Auckland,creche@meadowood.co.nz,09-4434357,
20544,Mighty Minds Educare Glenfield Ltd,81 Stanley Road,Glenfield,Auckland,cheryl3@mightyminds.co.nz,09-5256868,
20107,Milford Baptist Kindergarten,3 Dodson Avenue,Milford,Auckland,milbapkindy@xtra.co.nz,09-489 9746,
5072,Milford Kindergarten,14 Pierce Road,Milford,Auckland,milford@aka.org.nz,09-4861188,
47608,Mini Me In-Home Childcare Service,96 Oaktree Avenue,Browns Bay,Auckland,info@minimechildcare.com,09-.,
45922,Minimee Early Childhood Adventure,6 Bank Street,Hillcrest,Auckland,manager@minimee.co.nz,09-418 2770,
46861,Multilingual Kids,5A Piripiri Crescent,Torbay,Auckland,,09-4820914,
20112,Murrays Bay Childcare Centre,23 Seaton Road,Murrays Bay,Auckland,info@mbcc.co.nz,09-4786693,
22045,Narrowneck Playcentre,22 Handley Avenue,Devonport,Auckland,rachel.rix-trott@playcentre.org.nz,027-8802756,
46090,Natural Steps Albany,78 Apollo Drive,Albany,Auckland,albany@naturalsteps.co.nz,09-479 5051,
20116,Naval Community Daycare - Calliope House,65 Calliope Road,Devonport,Auckland,navycc@xtra.co.nz,09-445 2608,
10100,Naval ECE - Tamariki House,59 Calliope Road,Devonport,Auckland,navycc@xtra.co.nz,09-445 2484,
47102,Neemo Childcare Centre,51 Eban Avenue,Hillcrest,Auckland,info@neemochildcare.co.nz,09-480 9655,
48137,New Shoots Children's Centre - Coatesville,302 Coatesville Riverhead Highway,Albany,Auckland,coatesville@newshoots.co.nz,09-3040030,
47936,New Shoots Children's Centre - Greenhithe,31 Chester Avenue,Greenhithe,Auckland,,09-307 0005,
47953,New Shoots Children's Centre - Hillcrest,7 Argus Place,Hillcrest,Auckland,hillcrest@newshoots.co.nz,09-307 0034,
48040,New Shoots Childrens' Centre - Miniland,11 Sunnyview Road,Greenhithe,Auckland,,09-218 2997,
48401,New Shoots Childrens' Centre Ltd Rosedale,100A Rosedale Road,Rosedale,Auckland,,09-320 034701,
45945,New Shoots Sunnynook,20 Tonkin Drive,Sunnynook,Auckland,kellys@newshoots.co.nz,09-410 9605,
47861,New Sprout In-Home,30B Bracken Avenue,Takapuna,Auckland,newsproutinhome@gmail.com,021-0387628,
47900,Newbies Birkdale Early Learning Centre,126 Birkdale Road,Birkdale,Auckland,,09-2162935,
46812,Newbies Early Learning Centre,204 Lake Road,Northcote,Auckland,,09-418 4648,
47492,Next Generation,15 Gatman Street,Birkdale,Auckland,jes@nextgenerationchildcare.co.nz,09-4893156,
46047,Next Generation Birkenhead,76 Birkenhead Avenue,Birkenhead,Auckland,jes@nextgenerationchildcare.co.nz,09-419 4481,
20365,Next Generation Childcare,19 Gatman Street,Birkenhead,Auckland,jes@nextgenerationchildcare.co.nz,09-483 6087,
10058,Next Generation Infant Care,12 Westglade Crescent,Birkenhead,Auckland,jes@nextgenerationchildcare.co.nz,09-4836382,
46627,No-1 Home Based Childcare & Education Service,6 Tarndale Grove,Rosedale,Auckland,,027-5281668,
46674,No-1 Home Based Childcare & Education Service 2,6 Tarndale Grove,Rosedale,Auckland,,,
46697,No-1 Home Based Childcare & Education Service 3,6 Tarndale Grove,Rosedale,Auckland,brett@no-1group.co.nz,09-4153389,
46738,No-1 Home Based Childcare & Education Service 4,6 Tarndale Grove,Rosedale,Auckland,,027-528 1668,
47077,No-1 Home Based Childcare & Education Service 5,Unit C 38 William Pickering Drive,Rosedale,Auckland,brett@no-1group.co.nz,027-5281688,
47261,No-1 Home Based Childcare & Education Service 6,6  Tarndale Grove,Rosedale,Auckland,brett@no-1group.co.nz,09-4153389,
20118,Northcote Baptist Community Preschool,67 Eban Avenue,Northcote,Auckland,office@nbcp.org.nz,09-418 0710,
5081,Northcote Central Kindergarten,36 College Road,Northcote Central,Auckland,northcotecentral@aka.org.nz,09-418 1593,
47183,Northcote Early Learning Centre,50 Lake Road,Northcote,Auckland,admin@northcote-elc.co.nz,09-8692400,
5082,Northcote Kindergarten,7 Nutsey Avenue,Northcote,Auckland,northcote@aka.org.nz,09-480 7039,
20119,Northcote Point Community Creche,152 Queen Street,Northcote Point,Auckland,hello@northcotecreche.org.nz,09-480 1280,
20120,Northcote Pre-School Community Trust (Kete Wananga),Lindisfarne Hall at Lindisfarne Reserve Cnr Lake Road & Tonar Street,Northcote,Auckland,,027-3067040,
20122,Nurserydale Childcare Centre,262 Birkdale Road,Birkdale,Auckland,,09-483 8273,
5547,Oaktree Kindergarten,1 Palliser Lane,Browns Bay,Auckland,oaktree@kaitiakikindergartens.org.nz,09-4795979,
22047,Onepoto Playcentre,51 Hillcrest Avenue,Northcote,Auckland,rachel.rix-trott@playcentre.org.nz,09-443 6359,
20050,Our Family Early Learning Ltd,1 Jonathan Place,Sunnynook,Auckland,debby@ourfamilyearlylearning.co.nz,09-410 1261,
46604,Palms Educare (Browns Bay),26-28 Anzac Road,Browns Bay,Auckland,mellyyang0319@gmail.com,09-8805181,
10342,Peekaboo Childcare Centre,115-117 Hugh Green Drive,Pinehill,Auckland,info@peekaboo.nz,027-453 7728,
47957,Peekaboo Childcare Forrest Hill,2 Marsh Avenue,Forrest Hill,Auckland,,09-4101222,
20097,PeekabooTakapuna Limited,11 Killarney Street,Takapuna,Auckland,michelle@lakeviewkindy.co.nz,09-489 2823,
47317,Peninsula Kids,168 Bayswater Avenue,Bayswater-Auckland,Auckland,,09-3909112,
10065,Ponderosa Kids Preschool,3 Ponderosa Drive,Browns Bay,Auckland,pratimatewary@gmail.com,09-476 1240,
47179,Precious Years Learning Centre,213 Eskdale Road,Birkenhead,Auckland,info@preciousyears.co.nz,09-4191826,
20371,Rainbow Adventurers Childcare,12 Laurina Road,Sunnynook,Auckland,,09-479 2922,
5024,Rangitoto Kindergarten,2 A Hythe Terrace,Mairangi Bay,Auckland,rangitoto@kaitiakikindergartens.org.nz,09-4783355,
60301,Raphael House Kindergarten,27 Matuhi Street,Belmont,Lower Hutt,centremanager@rhkindergarten.org.nz,04-5695161,
20243,Reach for the Stars Early Learning Centre,19 Canaveral Drive,Mairangi Bay,Auckland,albanychildcare@reachforthestars.co.nz,09-476 3950,
45332,Reach Forward Early Learning Centre,10 Gills Road,Albany,North Shore City,,09-9504400,
34003,Riverlea Kindergarten,Hillcrest Normal School,Hillcrest,Hamilton,Riverleakindergarten@xtra.co.nz,07-8560127,
20115,Roots Montessori Early Learning Centre,5 Gladstone Road,Northcote,Auckland,admin@rootsmontessori.co.nz,09-480 4527,
40065,Rotorua Girls' High School Childcare Centre,15 Miro Street,Hillcrest,Rotorua,rghschildcare@xtra.co.nz,07-3477488,
25418,Secret Garden ELC Limited,428 Albany Highway,Albany,North Shore City,info@secretgarden4kids.co.nz,09-4150 535,
45873,Small Fries Christian Childcare Centre,542-550 East Coast Road,Mairangi Bay,Auckland,reception@smallfries.org.nz,09-477 2879,
10039,Smoochie McGill Early Learning,2 Santa Rosa Terrace,Forrest Hill,Auckland,enquiries@smoochiemcgill.co.nz,09-410 8803,
20060,Stellar Kids Early Learning Centre Birkenhead,156 Glenfield Road,Glenfield,Auckland,mika@stellarkids.nz,020-41259483,
10022,Summerfield Early Learning Centre,319 Rosedale Road,Albany,Auckland,info@summerfield.co.nz,09-4156867,
47822,Sunlight ECE Education,50 County Road,Torbay,Auckland,,09-9750611,
20477,Sunnynook Community Early Learning,148 Sycamore Drive,Sunnynook,Auckland,scc.creche@xtra.co.nz,021-02750384,
5037,Sunnynook Kindergarten,50 Sunnynook Road,Glenfield,Auckland,sunnynook@aka.org.nz,09-410 5210,
20162,Sunnynook Private Kindergarten,34 Tonkin Drive,Glenfield,Auckland,hello@sunnynookprivatekindergarten.co.nz,09-410 9606,
5025,Taiaotea Kindergarten,4 Woodlands Crescent,Browns Bay,Auckland,brownsbay@kaitiakikindergartens.org.nz,09-478 7795,
20079,Takapuna Kids Early Childhood Centre,2 Tennyson Avenue,Takapuna,Auckland,director@takapunakids.co.nz,09-489 8263,
5107,Takapuna Kindergarten,11 A Tennyson Avenue,Takapuna,Auckland,takapuna@aka.org.nz,09-489 6189,
20121,Takapuna Learning Space,"Building 19, North Shore Hospital Site 124 Shakespeare Road",Milford,Auckland,takapuna@thelearingspace.co.nz,09-488 0417,
22051,Takapuna Playcentre,4/8 Auburn Street,Takapuna,Auckland,rachel.rix-trott@playcentre.org.nz,09-489 8366,
22052,Takarunga Playcentre,1-26 Kerr Street,Devonport,Auckland,rachel.rix-trott@playcentre.org.nz,027-880 2749,
47857,Te Kōhanga Reo o Ngā Pihi o Te Purapura Pai,Birkenhead College  140 Birkdale Road,Birkenhead,Auckland,,09-2792264,
20319,Te Kōhanga Reo o Ngā Tikanga Pono,96 Bentley Avenue,Glenfield,Auckland,,09-4440818,
45561,Te Kōhanga Reo o Ngā Whare Maha,7 A Ceres Court,Mairangi Bay,Auckland,,09-869 2051,
20307,Te Kōhanga Reo o Te Hau Kapua,16 Roberts Avenue,Bayswater-Auckland,Auckland,,09-445 8641,
47920,The Children's Ark,282 Glenvar Road,Torbay,Auckland,admin@childrensark.co.nz,09-473 0242,
47576,The Haven Early Learning - Belmont,9 Preston Ave,Belmont,Auckland,belmont@havenearlylearning.nz,09-966 1005,
10332,The Junction Early Learning Centre,4 Oteha Valley Road,Northcross,Auckland,,09-479 5432,
20445,The No 1 Kindy Limited,4 Dominion Street,Takapuna,Auckland,theno1kindy@gmail.com,09-489 6797,
20292,The Rose Centre Community Pre-School,School Road,Belmont,Auckland,manager.preschool@rosecentre.co.nz,09-445 9900 Ext 2,
20015,The Y Early Learning Centre Beach Haven,130 Beach Haven Road,Beach Haven,Auckland,,09-482 1209,
20020,The Y Early Learning Centre Birkdale,134 Birkdale Road,Birkdale,Auckland,,09-483 7659,
20099,Three Mountains Montessori,47 Old Lake Road,Narrow Neck,Auckland,office@threemountainsmontessori.co.nz,09-445 9739,
20181,Tiny Tots Childcare Centre,18 Raleigh Road,Northcote,Auckland,sheree@tiny-tots.co.nz,09-441 0044,
20173,Titoki Montessori Pre-School,70 A Stredwick Drive,Torbay,Auckland,headofschool@titokimontessori.school.nz,09-4730362,
5026,Torbay Kindergarten,141 Deep Creek Road,Torbay,Auckland,torbay@kaitiakikindergartens.org.nz,09-473 9340,
22053,Torbay Playcentre,35 Watea Road,Torbay,Auckland,rachel.rix-trott@playcentre.org.nz,09-473 8077,
20485,Tots Corner,95 Onewa Road,Northcote,Auckland,tots@totscorner.co.nz,09-480 7025,
47267,Treasure Tree Home-Based Childcare,50 Anzac Road,Browns Bay,Auckland,treasuretreeinhome@gmail.com,09-4422086,
47616,Tui Art Early Learning Centre,11A Aeroview Drive,Beach Haven,Auckland,,09-214 7724,
48431,Tulip Grove Home-based Childcare,9 Loughros Place,Pinehill,Auckland,,028-85166235,
30285,Waikato Montessori Early Education Centre,267 Newell Road,Hillcrest,Hamilton,admin@goldenbeads.org.nz,07-8583563,
5111,Westlake Forrest Hill Kindergarten,Tiber Road,Milford,Auckland,westlakeforresthill@aka.org.nz,09-410 7742,
22058,Windy Ridge Playcentre,21A Tamahere Drive,Glenfield,Auckland,rachel.rix-trott@playcentre.org.nz,09-444 3949,
10276,Wonder Bees Early Learning Centre,3 Whetu Place,Mairangi Bay,Auckland,info@wonderbees.co.nz,09-4797 420,
